Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Frankrike; 6 270 ; 683 721 ; 109,05 ; 26 439 ; 2 708 824 ; 102,45 ; 31 741 ; 2 553 222 ; 80,44 
Nederland; 5 692 ; 636 513 ; 111,83 ; 24 295 ; 2 507 576 ; 103,21 ; 26 352 ; 2 097 819 ; 79,61 
Italia; 4 533 ; 549 959 ; 121,32 ; 19 410 ; 2 166 263 ; 111,60 ; 21 261 ; 1 907 495 ; 89,72 
Spania; 4 741 ; 527 551 ; 111,28 ; 20 242 ; 2 092 025 ; 103,35 ; 24 554 ; 1 947 216 ; 79,30 
Kina; 3 294 ; 476 720 ; 144,73 ; 13 582 ; 1 852 787 ; 136,41 ; 8 530 ; 935 297 ; 109,65 
Storbritannia; 3 426 ; 387 189 ; 113,02 ; 16 009 ; 1 636 336 ; 102,21 ; 19 825 ; 1 474 440 ; 74,37 
Tyskland; 1 879 ; 207 639 ; 110,52 ; 8 360 ; 852 262 ; 101,94 ; 10 539 ; 844 843 ; 80,16 
U S A; 1 302 ; 152 592 ; 117,18 ; 7 517 ; 836 623 ; 111,29 ; 5 356 ; 497 237 ; 92,84 
Sør-Korea; 1 541 ; 200 838 ; 130,36 ; 6 695 ; 830 465 ; 124,04 ; 7 959 ; 801 836 ; 100,74 
Thailand; 1 187 ; 146 161 ; 123,08 ; 5 318 ; 616 902 ; 115,99 ; 6 148 ; 573 677 ; 93,31 
Litauen; 1 335 ; 145 389 ; 108,93 ; 4 632 ; 467 241 ; 100,87 ; 7 741 ; 630 850 ; 81,49 
Finland; 937 ; 108 148 ; 115,44 ; 4 369 ; 449 285 ; 102,84 ; 5 623 ; 472 983 ; 84,11 
Ukraina; 838 ; 101 147 ; 120,66 ; 4 013 ; 440 104 ; 109,67 ; 3 264 ; 248 743 ; 76,20 
Hong Kong; 844 ; 102 134 ; 120,97 ; 3 678 ; 425 999 ; 115,81 ; 2 989 ; 287 662 ; 96,25 
Taiwan; 1 039 ; 123 822 ; 119,12 ; 3 568 ; 407 375 ; 114,18 ; 4 409 ; 382 754 ; 86,82 
Sverige; 860 ; 103 616 ; 120,48 ; 3 427 ; 372 645 ; 108,73 ; 4 309 ; 361 628 ; 83,93 
Vietnam; 515 ; 65 668 ; 127,51 ; 2 106 ; 253 277 ; 120,26 ; 1 832 ; 183 589 ; 100,19 
De Forente Arabiske Emirater; 470 ; 58 058 ; 123,56 ; 2 250 ; 250 770 ; 111,46 ; 2 091 ; 183 389 ; 87,71 
Portugal; 616 ; 72 814 ; 118,26 ; 2 253 ; 247 616 ; 109,90 ; 3 206 ; 277 121 ; 86,45 
Japan; 491 ; 57 091 ; 116,27 ; 2 174 ; 235 361 ; 108,28 ; 2 721 ; 213 427 ; 78,43 
Singapore; 395 ; 47 631 ; 120,68 ; 1 746 ; 195 927 ; 112,19 ; 1 756 ; 162 798 ; 92,72 
Tsjekkia; 389 ; 44 828 ; 115,39 ; 1 803 ; 191 367 ; 106,13 ; 2 407 ; 203 211 ; 84,44 
Irland; 354 ; 37 829 ; 106,91 ; 1 955 ; 187 662 ; 95,99 ; 1 502 ; 111 354 ; 74,11 
Hellas; 310 ; 36 117 ; 116,46 ; 1 565 ; 164 056 ; 104,86 ; 1 491 ; 105 412 ; 70,71 
Tyrkia; 307 ; 35 516 ; 115,56 ; 1 525 ; 162 501 ; 106,55 ; 1 215 ; 99 697 ; 82,07 
Saudi-Arabia; 220 ; 25 667 ; 116,71 ; 1 319 ; 139 646 ; 105,85 ; 1 295 ; 108 191 ; 83,55 
Belgia; 289 ; 36 196 ; 125,43 ; 956 ; 109 937 ; 115,02 ; 1 112 ; 93 654 ; 84,21 
Sør Afrika; 163 ; 21 063 ; 129,19 ; 869 ; 102 289 ; 117,75 ; 974 ; 92 024 ; 94,51 
Romania; 188 ; 22 465 ; 119,54 ; 712 ; 79 536 ; 111,74 ; 222 ; 19 552 ; 87,95 
Israel; 110 ; 13 637 ; 124,38 ; 614 ; 71 034 ; 115,78 ; 975 ; 98 456 ; 100,94 
Latvia; 125 ; 14 562 ; 116,06 ; 619 ; 66 329 ; 107,12 ; 664 ; 56 091 ; 84,50 
Estland; 122 ; 12 445 ; 102,10 ; 682 ; 66 057 ; 96,92 ; 659 ; 48 581 ; 73,67 
Sveits; 120 ; 15 034 ; 125,43 ; 500 ; 57 876 ; 115,84 ; 804 ; 66 899 ; 83,23 
Malaysia; 75 ; 9 102 ; 121,78 ; 342 ; 39 146 ; 114,35 ; 295 ; 26 645 ; 90,18 
Østerrike; 72 ; 9 050 ; 125,73 ; 311 ; 36 436 ; 117,06 ; 309 ; 27 359 ; 88,65 
Serbia; 86 ; 10 584 ; 123,44 ; 313 ; 32 998 ; 105,34 ; 389 ; 32 148 ; 82,65 
Canada; 1 ; 134 ; 129,65 ; 305 ; 31 470 ; 103,32 ; 247 ; 23 238 ; 94,18 
Quatar; 65 ; 7 788 ; 119,82 ; 276 ; 30 315 ; 109,68 ; 293 ; 24 768 ; 84,59 
Kuwait; 47 ; 6 112 ; 130,78 ; 221 ; 25 907 ; 117,06 ; 232 ; 20 981 ; 90,30 
Indonesia; 59 ; 6 845 ; 116,49 ; 186 ; 22 509 ; 121,30 ; -   ; -   ; . 
Georgia; 33 ; 4 038 ; 123,19 ; 174 ; 20 152 ; 115,86 ; 50 ; 5 381 ; 107,46 
Libanon; 29 ; 3 595 ; 124,78 ; 175 ; 19 799 ; 113,22 ; 157 ; 14 424 ; 91,91 
Bahrain; 40 ; 5 037 ; 126,55 ; 156 ; 18 150 ; 116,02 ; 155 ; 14 121 ; 91,03 
Filippinene; 30 ; 3 801 ; 127,11 ; 135 ; 15 815 ; 117,33 ; 100 ; 9 511 ; 95,36 
Kasakhstan; 15 ; 1 940 ; 128,80 ; 119 ; 13 829 ; 116,07 ; 25 ; 2 562 ; 102,47 
Marokko; 23 ; 2 819 ; 123,24 ; 131 ; 13 356 ; 101,91 ; 410 ; 36 720 ; 89,57 
Jordan; 14 ; 1 691 ; 123,22 ; 64 ; 7 168 ; 112,65 ; 67 ; 5 890 ; 88,34 
Oman; 10 ; 1 286 ; 131,40 ; 46 ; 5 380 ; 117,76 ; 54 ; 5 114 ; 94,14 
Luxemburg; 12 ; 1 532 ; 122,73 ; 44 ; 4 950 ; 113,08 ; 67 ; 6 419 ; 95,90 
India; 6 ; 705 ; 126,84 ; 38 ; 4 504 ; 117,93 ; 56 ; 4 932 ; 87,40 
Kenya; 10 ; 1 282 ; 133,52 ; 37 ; 4 503 ; 123,19 ; 34 ; 3 350 ; 97,93 
Macao; 8 ; 1 102 ; 130,77 ; 34 ; 4 270 ; 124,75 ; 44 ; 4 362 ; 98,20 
Kypros; 7 ; 782 ; 116,58 ; 40 ; 4 101 ; 102,11 ; 20 ; 1 733 ; 88,25 
Bulgaria; 5 ; 605 ; 112,37 ; 33 ; 3 873 ; 116,34 ; 57 ; 5 424 ; 95,16 
Usbekistan; 7 ; 915 ; 125,75 ; 31 ; 3 731 ; 120,11 ; 19 ; 1 810 ; 94,55 
Iran; 2 ; 319 ; 137,07 ; 22 ; 2 781 ; 125,55 ; 43 ; 4 422 ; 102,70 
Egypt; 3 ; 512 ; 148,81 ; 13 ; 1 728 ; 133,81 ; 15 ; 1 502 ; 99,30 
Ungarn; 1 ; 155 ; 130,51 ; 14 ; 1 508 ; 106,13 ; 12 ; 1 115 ; 93,05 
Mauritius; 1 ; 114 ; 133,73 ; 12 ; 1 495 ; 129,49 ; 15 ; 2 052 ; 138,88 
Pakistan; 2 ; 222 ; 125,39 ; 11 ; 1 256 ; 113,67 ; 16 ; 1 550 ; 95,68 
Maldivene; 1 ; 142 ; 144,15 ; 9 ; 1 135 ; 128,32 ; 1 ; 92 ; 108,96 
Guam; 2 ; 273 ; 116,40 ; 10 ; 1 060 ; 103,11 ; 4 ; 270 ; 65,88 
Ghana; 2 ; 278 ; 154,87 ; 5 ; 814 ; 151,95 ; 9 ; 991 ; 112,58 
Zimbabwe;;; . ; 5 ; 678 ; 141,67 ; 2 ; 202 ; 92,42 
Armenia; 2 ; 342 ; 170,19 ; 4 ; 585 ; 163,95 ; 12 ; 1 498 ; 125,37 
Slovakia; 2 ; 235 ; 124,87 ; 5 ; 563 ; 114,61 ; 3 ; 249 ; 84,52 
Kirgisistan; 1 ; 91 ; 156,18 ; 3 ; 507 ; 146,29 ;;; . 
Sri Lanka;;; . ; 4 ; 440 ; 123,47 ; -   ; -   ; . 
Andorra;;; . ; 3 ; 423 ; 134,36 ;;; . 
Moldova;;; . ; 3 ; 375 ; 140,06 ; -   ; -   ; . 
Kroatia; 1 ; 82 ; 122,33 ; 3 ; 336 ; 114,64 ; 21 ; 2 267 ; 107,31 
Tunisia;;; . ; 2 ; 258 ; 108,02 ; -   ; -   ; . 
Nigeria;;; . ; 2 ; 242 ; 124,70 ; 3 ; 241 ; 91,10 
Senegal;;; . ; 1 ; 164 ; 142,50 ; 2 ; 140 ; 79,61 
Tanzania;;; . ; 1 ; 74 ; 140,19 ; 1 ; 23 ; 45,53 
Irak; -   ; 31 ; 135,68 ; -   ; 62 ; 138,25 ;;; . 
Myanmar/Burma;;; . ; -   ; 29 ; 101,65 ; 1 ; 125 ; 88,95 
;;;;;;;;;
Varenr: 03021411;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk oppdrettslaks (annen, herunder laks uten hode);;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 6 ; 191 ; 31,69 ; 33 ; 2 721 ; 82,77 ; 37 ; 3 258 ; 89,00 
EU27; 6 ; 191 ; 31,69 ; 33 ; 2 721 ; 82,77 ; 20 ; 1 620 ; 79,15 
Nederland;;; . ; 20 ; 2 305 ; 116,91 ; -   ; -   ; . 
Sverige; 6 ; 188 ; 31,43 ; 13 ; 413 ; 31,49 ; 1 ; 27 ; 20,63 
;;;;;;;;;
Varenr: 03021419;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk laks ellers;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 2 ; 12 ; 6,50 ; 2 ; 12 ; 6,50 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 3021490;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fryst oppdrettslaks (med hode);;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 299 ; 123 936 ; 95,38 ; 6 914 ; 634 175 ; 91,72 ; 5 602 ; 403 357 ; 72,00 
EU27; 762 ; 76 629 ; 100,55 ; 2 882 ; 267 146 ; 92,68 ; 1 304 ; 94 025 ; 72,08 
Kasakhstan; 193 ; 20 003 ; 103,80 ; 1 523 ; 153 107 ; 100,50 ; 1 846 ; 141 744 ; 76,79 
Polen; 199 ; 18 522 ; 93,30 ; 798 ; 69 390 ; 86,93 ; 874 ; 66 274 ; 75,79 
Litauen; 185 ; 19 964 ; 107,89 ; 569 ; 54 956 ; 96,59 ; 198 ; 14 274 ; 71,91 
Danmark; 147 ; 13 860 ; 94,27 ; 489 ; 44 588 ; 91,15 ; 91 ; 5 849 ; 64,45 
De Forente Arabiske Emirater; 41 ; 3 626 ; 89,42 ; 383 ; 33 535 ; 87,58 ; 197 ; 13 612 ; 69,17 
Latvia; 104 ; 12 482 ; 120,55 ; 282 ; 30 926 ; 109,82 ; -   ; -   ; . 
Tyskland; 58 ; 5 685 ; 97,67 ; 289 ; 27 485 ; 95,26 ; 22 ; 1 492 ; 67,56 
Egypt; 30 ; 1 015 ; 33,78 ; 307 ; 25 090 ; 81,79 ; 383 ; 28 572 ; 74,69 
Filippinene; 22 ; 1 478 ; 66,64 ; 312 ; 24 543 ; 78,78 ; 492 ; 32 662 ; 66,45 
Spania; 20 ; 2 037 ; 103,46 ; 259 ; 24 520 ; 94,56 ; 67 ; 3 625 ; 53,92 
Hong Kong; 42 ; 3 817 ; 90,53 ; 186 ; 16 502 ; 88,77 ; 149 ; 10 333 ; 69,25 
Thailand;;; . ; 161 ; 13 595 ; 84,18 ; 334 ; 21 495 ; 64,38 
Japan;;; . ; 137 ; 11 377 ; 82,77 ; 88 ; 5 161 ; 58,45 
Sør Afrika; 20 ; 1 508 ; 76,47 ; 125 ; 9 288 ; 74,28 ; 145 ; 8 095 ; 55,89 
Israel;;; . ; 113 ; 9 151 ; 81,23 ; 95 ; 6 371 ; 67,20 
Sveits; 10 ; 1 048 ; 102,32 ; 91 ; 8 767 ; 96,32 ; 52 ; 4 422 ; 85,24 
Ukraina; 2 ; 182 ; 86,12 ; 81 ; 7 340 ; 90,11 ; -   ; -   ; . 
Malaysia;;; . ; 81 ; 7 248 ; 89,11 ; 112 ; 7 690 ; 68,69 
Singapore; 20 ; 1 541 ; 78,76 ; 79 ; 6 185 ; 78,43 ; -   ; -   ; . 
Kirgisistan; 18 ; 2 316 ; 127,65 ; 54 ; 5 957 ; 109,60 ; 81 ; 6 712 ; 82,65 
Hellas; 37 ; 3 403 ; 91,79 ; 65 ; 5 818 ; 90,16 ;;; . 
Taiwan; 68 ; 4 074 ; 59,71 ; 88 ; 5 731 ; 64,91 ; 40 ; 2 621 ; 66,13 
Saudi-Arabia; 10 ; 844 ; 84,20 ; 57 ; 5 281 ; 92,36 ; 32 ; 2 515 ; 78,85 
Georgia; 20 ; 1 958 ; 99,08 ; 53 ; 5 017 ; 95,27 ; 17 ; 651 ; 38,42 
Sør-Korea;;; . ; 41 ; 3 849 ; 94,07 ; 120 ; 8 176 ; 68,19 
Usbekistan;;; . ; 35 ; 3 837 ; 110,11 ; 14 ; 1 108 ; 77,05 
Estland;;; . ; 46 ; 3 702 ; 81,31 ; 7 ; 292 ; 42,04 
Storbritannia;;; . ; 38 ; 3 688 ; 96,66 ; -   ; -   ; . 
Colombia; 19 ; 1 867 ; 96,94 ; 37 ; 3 646 ; 98,10 ; 19 ; 1 353 ; 71,70 
Frankrike;;; . ; 27 ; 2 813 ; 102,63 ; -   ; -   ; . 
Kina; 23 ; 2 031 ; 89,89 ; 23 ; 2 031 ; 89,89 ; -   ; -   ; . 
Indonesia;;; . ; 20 ; 1 551 ; 79,46 ; -   ; -   ; . 
Finland;;; . ; 20 ; 921 ; 46,86 ; -   ; -   ; . 
Tunisia;;; . ; 6 ; 714 ; 119,12 ; 20 ; 1 642 ; 80,92 
Nederland; 13 ; 676 ; 51,93 ; 13 ; 676 ; 51,93 ; -   ; -   ; . 
Romania;;; . ; 19 ; 675 ; 35,04 ; 16 ; 351 ; 22,26 
Sverige;;; . ; 7 ; 631 ; 95,38 ; 27 ; 1 678 ; 62,92 
Kypros;;; . ; 1 ; 46 ; 82,63 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03031311;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fryst oppdrettslaks (annen, herunder laks uten hode);;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 203 ; 7 471 ; 36,77 ; 447 ; 27 977 ; 62,61 ; 270 ; 12 440 ; 46,09 
Sør-Korea; 23 ; 2 279 ; 99,88 ; 136 ; 13 364 ; 98,46 ; 87 ; 6 560 ; 75,33 
EU27; 77 ; 765 ; 9,94 ; 116 ; 4 205 ; 36,36 ; 8 ; 486 ; 58,29 
Polen; 35 ; 351 ; 10,17 ; 54 ; 2 142 ; 39,49 ; 2 ; 116 ; 48,37 
Egypt; 21 ; 1 956 ; 92,53 ; 21 ; 1 956 ; 92,53 ;;; . 
Canada;;; . ; 20 ; 1 746 ; 88,25 ;;; . 
Hong Kong; 20 ; 1 743 ; 87,92 ; 20 ; 1 743 ; 87,92 ;;; . 
Vietnam;;; . ; 25 ; 1 374 ; 54,01 ; 49 ; 2 582 ; 53,14 
Ukraina; 27 ; 379 ; 14,19 ; 42 ; 1 339 ; 31,85 ; 3 ; 199 ; 75,20 
Filippinene; 23 ; 201 ; 8,60 ; 41 ; 1 277 ; 31,08 ; -   ; -   ; . 
Frankrike;;; . ; 9 ; 850 ; 90,00 ;;; . 
Litauen; 20 ; 208 ; 10,41 ; 26 ; 775 ; 29,62 ; 2 ; 164 ; 78,22 
Kasakhstan; 12 ; 147 ; 11,88 ; 22 ; 523 ; 23,86 ; -   ; -   ; . 
De Forente Arabiske Emirater;;; . ; 4 ; 371 ; 103,29 ;;; . 
Latvia; 23 ; 206 ; 9,17 ; 23 ; 206 ; 9,17 ; 4 ; 206 ; 53,58 
Finland;;; . ; 2 ; 161 ; 77,25 ;;; . 
Nepal;;; . ; 1 ; 80 ; 130,49 ;;; . 
Spania;;; . ; 1 ; 70 ; 58,01 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03031319;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk laksefilet;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 9 600 ; 1 526 404 ; 159,00 ; 39 576 ; 5 963 787 ; 150,69 ; 42 771 ; 4 821 705 ; 112,73 
EU27; 4 649 ; 683 975 ; 147,12 ; 18 595 ; 2 554 906 ; 137,40 ; 19 212 ; 1 997 153 ; 103,95 
U S A; 2 263 ; 379 806 ; 167,82 ; 9 655 ; 1 576 727 ; 163,30 ; 9 177 ; 1 146 785 ; 124,96 
Japan; 1 103 ; 177 104 ; 160,51 ; 4 608 ; 666 954 ; 144,75 ; 6 369 ; 641 211 ; 100,68 
Polen; 1 246 ; 165 983 ; 133,17 ; 5 191 ; 637 472 ; 122,81 ; 5 995 ; 532 128 ; 88,76 
Frankrike; 851 ; 139 782 ; 164,22 ; 3 594 ; 545 334 ; 151,73 ; 4 452 ; 486 524 ; 109,29 
Sør-Korea; 503 ; 95 350 ; 189,41 ; 2 102 ; 393 073 ; 186,99 ; 2 346 ; 289 195 ; 123,28 
Sverige; 519 ; 80 107 ; 154,41 ; 2 349 ; 335 254 ; 142,74 ; 2 671 ; 289 274 ; 108,31 
Belgia; 527 ; 79 733 ; 151,32 ; 2 021 ; 291 542 ; 144,29 ; 1 405 ; 144 863 ; 103,12 
Israel; 321 ; 59 523 ; 185,25 ; 1 631 ; 281 755 ; 172,75 ; 2 076 ; 297 663 ; 143,41 
Spania; 517 ; 77 059 ; 149,15 ; 1 777 ; 249 719 ; 140,49 ; 1 159 ; 136 447 ; 117,70 
Danmark; 385 ; 48 042 ; 124,70 ; 1 571 ; 185 671 ; 118,21 ; 1 170 ; 129 701 ; 110,88 
Storbritannia; 204 ; 36 162 ; 177,30 ; 809 ; 134 679 ; 166,41 ; 1 241 ; 149 141 ; 120,14 
Canada; 165 ; 28 408 ; 172,69 ; 662 ; 111 555 ; 168,58 ; 671 ; 96 397 ; 143,76 
Finland; 149 ; 23 447 ; 156,86 ; 650 ; 88 908 ; 136,70 ; 812 ; 91 113 ; 112,21 
Nederland; 210 ; 32 778 ; 156,00 ; 562 ; 87 729 ; 155,96 ; 600 ; 72 776 ; 121,38 
Kina; 140 ; 23 845 ; 170,80 ; 420 ; 69 807 ; 166,18 ; 317 ; 41 231 ; 130,13 
Tyskland; 91 ; 16 072 ; 175,86 ; 422 ; 67 536 ; 159,92 ; 685 ; 81 146 ; 118,51 
Singapore; 83 ; 13 258 ; 160,67 ; 356 ; 55 823 ; 156,73 ; 416 ; 54 609 ; 131,26 
Latvia; 96 ; 12 344 ; 129,12 ; 166 ; 23 268 ; 139,91 ; 48 ; 7 202 ; 149,92 
Taiwan; 25 ; 4 494 ; 182,55 ; 127 ; 22 299 ; 175,75 ; 163 ; 16 656 ; 102,16 
Thailand; 23 ; 4 058 ; 176,16 ; 129 ; 21 378 ; 166,15 ; 150 ; 20 079 ; 134,29 
Sveits; 23 ; 4 806 ; 210,53 ; 103 ; 19 977 ; 193,52 ; 131 ; 18 824 ; 144,04 
Italia; 15 ; 2 216 ; 147,26 ; 124 ; 17 412 ; 140,08 ; 89 ; 10 381 ; 117,11 
Tsjekkia; 12 ; 2 056 ; 168,82 ; 76 ; 11 853 ; 156,14 ; 53 ; 6 701 ; 125,58 
Tyrkia; 12 ; 1 765 ; 152,66 ; 105 ; 9 758 ; 93,35 ; 173 ; 11 887 ; 68,65 
Litauen; 23 ; 2 995 ; 132,14 ; 53 ; 7 447 ; 140,50 ; 18 ; 2 285 ; 126,18 
De Forente Arabiske Emirater; 8 ; 1 264 ; 152,89 ; 35 ; 5 642 ; 162,26 ; 29 ; 4 141 ; 141,71 
Libanon; 10 ; 1 759 ; 167,66 ; 32 ; 5 295 ; 167,15 ; 11 ; 1 568 ; 140,08 
Sør Afrika; 9 ; 1 142 ; 124,83 ; 37 ; 4 526 ; 121,10 ; 26 ; 2 956 ; 114,63 
Ukraina; 28 ; 4 463 ; 157,90 ; 28 ; 4 463 ; 157,90 ; -   ; -   ; . 
Kuwait;;; . ; 22 ; 4 391 ; 195,18 ; -   ; 59 ; 168,07 
Saudi-Arabia; -   ; 3 ; 176,00 ; 25 ; 4 364 ; 175,85 ; 73 ; 10 184 ; 140,01 
Kenya; 4 ; 721 ; 187,54 ; 20 ; 3 590 ; 180,99 ; 14 ; 1 791 ; 132,36 
Quatar; 6 ; 1 162 ; 181,54 ; 18 ; 3 196 ; 174,37 ; 10 ; 1 267 ; 120,91 
Hong Kong; 8 ; 1 198 ; 157,58 ; 14 ; 2 809 ; 204,83 ; 7 ; 968 ; 137,80 
Kypros;;; . ; 14 ; 1 962 ; 139,94 ; -   ; -   ; . 
Bulgaria;;; . ; 12 ; 1 701 ; 144,66 ; 32 ; 3 810 ; 117,52 
Guam; 3 ; 415 ; 146,38 ; 13 ; 1 698 ; 129,09 ; 4 ; 298 ; 82,05 
Mauritius; 1 ; 221 ; 190,44 ; 5 ; 1 004 ; 184,94 ; 9 ; 1 554 ; 181,76 
Vietnam; 6 ; 904 ; 149,41 ; 6 ; 976 ; 150,92 ; -   ; 3 ; 134,50 
Luxemburg; 3 ; 471 ; 185,48 ; 5 ; 897 ; 182,64 ; -   ; -   ; . 
Østerrike; 4 ; 726 ; 180,58 ; 4 ; 726 ; 180,58 ; -   ; -   ; . 
Jordan;;; . ; 5 ; 662 ; 139,42 ; -   ; 13 ; 41,55 
Portugal; 1 ; 164 ; 162,38 ; 3 ; 473 ; 140,56 ; 7 ; 872 ; 128,95 
Zimbabwe;;; . ; 2 ; 401 ; 181,38 ; 2 ; 300 ; 134,31 
Malaysia; -   ; 31 ; 291,11 ; 2 ; 392 ; 166,11 ; 3 ; 354 ; 134,92 
Uganda; 1 ; 137 ; 240,26 ; 2 ; 350 ; 213,88 ; 5 ; 710 ; 155,69 
Nigeria;;; . ; 2 ; 306 ; 153,35 ; 7 ; 901 ; 125,53 
Rwanda; 1 ; 77 ; 153,62 ; 2 ; 280 ; 153,29 ; 1 ; 192 ; 152,54 
Georgia; -   ; 80 ; 187,31 ; 1 ; 211 ; 180,98 ; -   ; -   ; . 
Mongolia; -   ; 59 ; 269,88 ; 1 ; 160 ; 258,48 ; -   ; -   ; . 
Marokko; 1 ; 146 ; 232,14 ; 1 ; 146 ; 232,14 ;;; . 
India;;; . ; 1 ; 124 ; 154,96 ; 3 ; 503 ; 148,05 
Zambia; -   ; 70 ; 165,84 ; -   ; 70 ; 165,84 ; -   ; -   ; . 
Filippinene;;; . ; -   ; 42 ; 142,17 ;;; . 
;;;;;;;;;
Varenr: 03044100;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fryst laksefilet;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 4 476 ; 741 301 ; 165,61 ; 21 158 ; 3 277 625 ; 154,91 ; 20 350 ; 2 353 888 ; 115,67 
EU27; 2 057 ; 317 018 ; 154,08 ; 9 000 ; 1 272 108 ; 141,35 ; 9 343 ; 1 020 530 ; 109,23 
U S A; 1 533 ; 292 413 ; 190,77 ; 6 727 ; 1 242 485 ; 184,71 ; 5 707 ; 762 627 ; 133,64 
Sverige; 532 ; 80 052 ; 150,59 ; 2 546 ; 363 736 ; 142,86 ; 3 014 ; 329 657 ; 109,37 
Tyskland; 453 ; 74 403 ; 164,37 ; 1 593 ; 254 403 ; 159,65 ; 1 586 ; 176 055 ; 111,00 
Israel; 216 ; 28 667 ; 132,96 ; 1 556 ; 201 199 ; 129,28 ; 1 985 ; 203 430 ; 102,49 
Frankrike; 311 ; 57 471 ; 184,50 ; 1 048 ; 177 497 ; 169,43 ; 833 ; 105 057 ; 126,08 
