Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Sveits; 265 ; 31 825 ; 120,11 ; 2 356 ; 145 989 ; 61,95 ; 1 289 ; 119 107 ; 92,37 
Australia; 158 ; 23 839 ; 150,87 ; 897 ; 143 184 ; 159,71 ; 1 080 ; 126 738 ; 117,36 
Sør Afrika; 218 ; 24 209 ; 111,10 ; 1 437 ; 138 934 ; 96,65 ; 1 433 ; 115 795 ; 80,80 
Island; 99 ; 1 711 ; 17,21 ; 19 261 ; 125 726 ; 6,53 ; 25 407 ; 91 854 ; 3,62 
Estland; 267 ; 18 214 ; 68,25 ; 2 390 ; 108 977 ; 45,60 ; 2 063 ; 81 069 ; 39,30 
Hviterussland; 840 ; 14 054 ; 16,73 ; 7 000 ; 106 992 ; 15,28 ; 2 927 ; 121 148 ; 41,39 
Indonesia; 384 ; 23 203 ; 60,37 ; 1 967 ; 102 741 ; 52,24 ; 1 857 ; 54 856 ; 29,55 
Romania; 291 ; 24 123 ; 82,90 ; 1 725 ; 102 057 ; 59,16 ; 1 912 ; 49 041 ; 25,66 
Jamaica; 214 ; 10 473 ; 48,83 ; 1 791 ; 86 009 ; 48,03 ; 2 422 ; 101 269 ; 41,81 
Filippinene; 328 ; 8 515 ; 25,97 ; 1 811 ; 61 983 ; 34,22 ; 2 093 ; 75 531 ; 36,09 
Georgia; 273 ; 10 424 ; 38,12 ; 2 130 ; 53 140 ; 24,95 ; 1 565 ; 25 499 ; 16,29 
Uruguay;;; . ; 18 953 ; 49 241 ; 2,60 ; 25 879 ; 66 862 ; 2,58 
Østerrike; 95 ; 12 177 ; 128,52 ; 435 ; 48 736 ; 112,00 ; 385 ; 35 010 ; 90,87 
Kuwait; 47 ; 6 122 ; 130,92 ; 335 ; 47 336 ; 141,24 ; 334 ; 35 338 ; 105,78 
Serbia; 86 ; 10 584 ; 123,44 ; 373 ; 40 815 ; 109,53 ; 513 ; 43 040 ; 83,95 
Quatar; 94 ; 12 198 ; 130,02 ; 319 ; 36 979 ; 116,09 ; 327 ; 29 274 ; 89,56 
Kroatia; 345 ; 2 150 ; 6,23 ; 1 700 ; 31 163 ; 18,33 ; 653 ; 18 191 ; 27,87 
Armenia; 74 ; 7 350 ; 99,92 ; 283 ; 30 248 ; 106,82 ; 116 ; 4 403 ; 37,89 
Kongo; 81 ; 3 734 ; 46,10 ; 648 ; 29 783 ; 45,96 ; 943 ; 32 877 ; 34,86 
New Zealand; 47 ; 7 244 ; 153,15 ; 246 ; 29 700 ; 120,76 ; 58 ; 7 346 ; 126,21 
Kypros; 49 ; 7 865 ; 161,48 ; 189 ; 27 345 ; 144,35 ; 39 ; 3 799 ; 97,11 
Bulgaria; 42 ; 2 738 ; 65,01 ; 601 ; 27 141 ; 45,15 ; 909 ; 25 641 ; 28,21 
Libanon; 39 ; 5 354 ; 136,23 ; 207 ; 25 094 ; 121,49 ; 197 ; 16 311 ; 82,87 
Mexico; 297 ; 15 540 ; 52,32 ; 361 ; 22 140 ; 61,27 ; 355 ; 22 905 ; 64,60 
Ghana; 3 ; 335 ; 119,91 ; 1 502 ; 21 500 ; 14,31 ; 1 208 ; 10 578 ; 8,75 
Jordan; 122 ; 3 162 ; 25,86 ; 734 ; 19 279 ; 26,26 ; 554 ; 18 003 ; 32,47 
San Marino; 70 ; 7 741 ; 110,24 ; 185 ; 18 251 ; 98,74 ; 90 ; 6 611 ; 73,84 
Bahrain; 40 ; 5 038 ; 126,48 ; 156 ; 18 151 ; 116,01 ; 293 ; 15 561 ; 53,18 
Martinique; 64 ; 4 528 ; 71,04 ; 245 ; 17 118 ; 69,74 ; 300 ; 14 930 ; 49,69 
India; 6 ; 720 ; 125,14 ; 103 ; 14 089 ; 137,38 ; 120 ; 10 850 ; 90,44 
Trinidad og Tobago; 79 ; 3 859 ; 48,75 ; 284 ; 13 911 ; 48,93 ; 332 ; 14 411 ; 43,35 
Marokko; 24 ; 2 964 ; 126,14 ; 132 ; 13 501 ; 102,53 ; 410 ; 36 730 ; 89,57 
Usbekistan; 7 ; 915 ; 125,75 ; 287 ; 12 752 ; 44,41 ; 53 ; 3 179 ; 59,96 
Togo; 216 ; 2 099 ; 9,72 ; 1 107 ; 12 378 ; 11,18 ; 1 623 ; 14 053 ; 8,66 
Russland; 13 ; 239 ; 18,40 ; 473 ; 11 948 ; 25,26 ; 770 ; 16 598 ; 21,56 
Moldova; 164 ; 2 936 ; 17,90 ; 633 ; 11 070 ; 17,50 ; 276 ; 2 902 ; 10,52 
Panama; 13 ; 695 ; 55,59 ; 188 ; 10 855 ; 57,90 ; 250 ; 11 721 ; 46,85 
Bangladesh; 288 ; 6 140 ; 21,32 ; 491 ; 10 304 ; 20,99 ; 696 ; 9 188 ; 13,19 
Kenya; 14 ; 2 153 ; 153,95 ; 68 ; 10 183 ; 150,24 ; 52 ; 6 023 ; 115,26 
Guadeloupe; 22 ; 1 470 ; 66,90 ; 143 ; 9 461 ; 66,31 ; 174 ; 8 870 ; 50,84 
Kirgisistan; 19 ; 2 407 ; 128,53 ; 216 ; 8 950 ; 41,45 ; 227 ; 10 727 ; 47,19 
Tunisia;;; . ; 163 ; 8 724 ; 53,56 ; 145 ; 7 312 ; 50,33 
Angola;;; . ; 199 ; 8 221 ; 41,39 ; 513 ; 18 236 ; 35,55 
Gabon;;; . ; 235 ; 8 000 ; 34,04 ; 466 ; 11 593 ; 24,88 
Luxemburg; 32 ; 4 082 ; 129,57 ; 66 ; 7 991 ; 121,44 ; 163 ; 11 406 ; 70,11 
Benin;;; . ; 756 ; 6 986 ; 9,24 ; 2 052 ; 16 595 ; 8,09 
Mauritius; 2 ; 341 ; 168,13 ; 217 ; 5 982 ; 27,55 ; 31 ; 3 968 ; 127,94 
Oman; 10 ; 1 339 ; 134,76 ; 46 ; 5 500 ; 119,41 ; 55 ; 5 183 ; 94,92 
Elfenbenskysten; 51 ; 1 422 ; 27,88 ; 241 ; 4 824 ; 20,00 ; 2 686 ; 24 257 ; 9,03 
